1,36692,101,3
2,15609,978,6
3,20562,259,10
4,61689,825,4
5,9226,340,7
6,14749,747,5
7,17881,463,3
8,44480,646,7
9,28206,884,8
10,50058,161,3
11,25313,916,6
12,22432,897,6
13,16201,486,7
14,7043,451,8
15,61690,56,10
16,44786,535,6
17,25285,158,9
18,60268,576,2
19,37486,518,1
20,37115,612,10
21,54182,111,10
22,43759,169,3
23,49476,242,9
24,1773,285,2
25,62378,227,6
26,37490,307,5
27,24985,905,4
28,59608,597,2
29,50302,295,2
30,57951,585,2
31,41573,14,1
32,13401,679,6
33,24012,695,6
34,25190,209,6
35,22530,462,1
36,28240,53,9
37,14287,155,1
38,54117,745,8
39,36336,422,8
40,62838,265,9
41,53757,9,10
42,39191,237,1
43,19396,168,7
44,33069,728,6
45,48242,492,9
46,41643,901,7
47,16374,71,2
48,4895,357,6
49,7031,830,2
50,37185,637,6
51,60746,483,2
52,38958,756,10
53,1539,347,6
54,37459,311,4
55,958,326,1
56,647,935,9
57,43986,496,8
58,56085,409,5
59,22490,249,4
60,62906,946,8
61,47294,944,3
62,1345,59,5
63,51360,727,9
64,58895,290,3
65,414,215,9
66,34253,656,1
67,15615,875,7
68,43129,632,5
69,4762,624,6
70,64419,791,2
71,60802,486,5
72,1462,48,2
73,6659,654,6
74,24150,948,9
75,61502,925,9
76,29509,570,9
77,57946,324,2
78,38495,672,2
79,43831,340,8
80,37662,569,6
81,19159,178,9
82,11390,160,10
83,51576,216,6
84,62951,761,1
85,5806,536,9
86,33752,403,7
87,6409,369,2
88,36312,214,2
89,29013,769,8
90,19556,692,10
91,38566,683,6
92,16982,765,6
93,51450,248,2
94,30100,286,10
95,50027,169,5
96,26919,334,9
97,20050,537,7
98,17131,81,5
99,23020,40,6
100,15186,404,5
101,14993,347,7
102,42192,596,4
103,8193,883,5
104,21531,750,10
105,8151,756,5
106,18742,470,1
107,26727,754,2
108,56545,644,7
109,6360,469,5
110,1602,43,4
111,46179,596,7
112,45449,335,2
113,21222,24,8
114,4750,979,7
115,11177,857,5
116,49033,1,1
117,41262,738,8
118,14928,414,5
119,23259,529,6
120,6706,134,8
121,17229,291,3
122,52939,116,3
123,42410,125,6
124,32489,770,7
125,50451,936,6
126,2331,884,5
127,30235,887,5
128,62100,194,2
129,33528,992,8
130,27219,474,7
131,21898,732,2
132,3966,324,6
133,52952,929,3
134,34031,341,2
135,11550,918,2
136,51522,862,7
137,51268,994,4
138,59116,796,9
139,59118,806,4
140,64685,348,8
141,25943,560,3
142,14403,204,7
143,7293,878,2
144,28672,709,6
145,17006,81,5
146,36475,48,2
147,43631,492,1
148,4647,450,1
149,62293,369,5
150,1173,259,5
151,45645,914,1
152,40034,46,2
153,1903,4,5
154,32272,263,2
155,615,823,3
156,50485,513,2
157,58991,394,8
158,23586,273,1
159,23166,567,1
160,12724,829,10
161,46759,191,10
162,34652,934,8
163,20599,189,5
164,1600,843,7
165,50315,350,9
166,56847,534,6
167,13214,902,1
168,28789,260,6
169,16420,744,10
170,1227,107,6
171,25125,698,8
172,2613,481,1
173,45807,194,3
174,57673,473,6
175,56717,322,2
176,26536,20,2
177,52120,134,5
178,43729,406,8
179,31983,583,4
180,8904,22,9
181,19665,363,7
182,62248,398,10
183,4051,960,4
184,16729,591,10
185,55097,227,8
186,52869,492,10
187,53950,425,1
188,54475,763,4
189,44391,223,5
190,28639,226,1
191,24735,771,9
192,55594,77,4
193,51307,971,4
194,17545,283,2
195,37721,553,6
196,44879,753,1
197,837,413,3
198,44906,377,1
199,56855,281,1
200,33234,957,6
