1,2020-08-01,248,13
2,2020-08-02,340,18
3,2020-08-03,83,27
4,2020-08-04,43,24
5,2020-08-05,6,23
6,2020-08-06,235,24
7,2020-08-07,389,22
8,2020-08-08,325,14
9,2020-08-09,435,8
10,2020-08-10,194,15
11,2020-08-11,140,22
12,2020-08-12,150,14
13,2020-08-13,376,17
14,2020-08-14,156,29
15,2020-08-15,229,8
16,2020-08-16,444,15
17,2020-08-17,61,29
18,2020-08-18,290,15
19,2020-08-19,114,22
20,2020-08-20,25,13
21,2020-08-21,443,4
22,2020-08-22,348,13
23,2020-08-23,111,13
24,2020-08-24,360,8
25,2020-08-25,270,27
26,2020-08-26,165,3
27,2020-08-27,361,23
28,2020-08-28,157,9
29,2020-08-29,328,28
30,2020-08-30,291,13
31,2020-08-31,280,26
32,2020-09-01,391,18
33,2020-09-02,448,15
34,2020-09-03,191,10
35,2020-09-04,236,3
36,2020-09-05,432,15
37,2020-09-06,474,6
38,2020-09-07,103,21
39,2020-09-08,330,25
40,2020-09-09,60,29
41,2020-09-10,273,17
42,2020-09-11,177,23
43,2020-09-12,73,25
44,2020-09-13,377,4
45,2020-09-14,262,7
46,2020-09-15,168,19
47,2020-09-16,424,1
48,2020-09-17,75,10
49,2020-09-18,427,3
50,2020-09-19,346,7
51,2020-09-20,139,11
52,2020-09-21,445,7
53,2020-09-22,145,10
54,2020-09-23,317,7
55,2020-09-24,267,4
56,2020-09-25,174,23
57,2020-09-26,110,21
58,2020-09-27,499,12
59,2020-09-28,32,14
60,2020-09-29,164,23
61,2020-09-30,262,20
62,2020-10-01,152,15
63,2020-10-02,235,18
64,2020-10-03,62,15
65,2020-10-04,210,5
66,2020-10-05,390,26
67,2020-10-06,34,2
68,2020-10-07,2,17
69,2020-10-08,400,14
70,2020-10-09,410,14
71,2020-10-10,386,19
72,2020-10-11,487,18
73,2020-10-12,310,2
74,2020-10-13,395,25
75,2020-10-14,312,21
76,2020-10-15,88,13
77,2020-10-16,420,22
78,2020-10-17,376,20
79,2020-10-18,162,25
80,2020-10-19,10,9
81,2020-10-20,198,19
82,2020-10-21,27,8
83,2020-10-22,478,24
84,2020-10-23,370,15
85,2020-10-24,379,23
86,2020-10-25,16,22
87,2020-10-26,208,24
88,2020-10-27,147,21
89,2020-10-28,466,22
90,2020-10-29,123,30
91,2020-10-30,178,19
92,2020-10-31,78,7
93,2020-11-01,60,11
94,2020-11-02,175,1
95,2020-11-03,260,12
96,2020-11-04,296,29
97,2020-11-05,229,24
98,2020-11-06,493,15
99,2020-11-07,252,4
100,2020-11-08,380,12
101,2020-11-09,184,7
102,2020-11-10,269,21
103,2020-11-11,301,5
104,2020-11-12,133,1
105,2020-11-13,166,12
106,2020-11-14,488,5
107,2020-11-15,340,5
108,2020-11-16,57,29
